InvoiceId,Date,VATPeriod,CompanyId,Sector,SizeCategory,BuyerId,BuyerSector,BuyerSizeCategory,Good,Quantity,ExciseDutyRate,TotalObligation,ActualPayment,PaymentFactor,ComplianceCategory,UnderPayment
INV3410866,2023-01-01,2023 Q1,2025,Importer,Small,1601,Distributors,Medium,Wine_Imported,9.611,10.67,102.55,52.72,0.5141,partially_compliant,49.83
INV3410867,2023-01-01,2023 Q1,2061,Importer,Small,1601,Distributors,Medium,Beer_Imported,38.953,3.0,116.86,3.73,0.032,non_compliant,113.12
INV3412893,2023-01-01,2023 Q1,2052,Importer,Small,1602,Distributors,Small,Coffee_Beans_Imported,11.570936,25.0,289.27,283.41,0.9797,compliant,5.86
INV3412896,2023-01-01,2023 Q1,2016,Importer,Medium,1602,Distributors,Small,Beer_Imported,41.386515,3.0,124.16,0.0,0.0,non_compliant,124.16
INV3412897,2023-01-01,2023 Q1,2061,Importer,Small,1602,Distributors,Small,Wine_Imported,73.047971,10.67,779.42,24.91,0.032,non_compliant,754.51
INV3414923,2023-01-01,2023 Q1,2071,Importer,Small,1603,Distributors,Small,Wine_Imported,33.959383,10.67,362.35,222.78,0.6148,partially_compliant,139.56
INV3416516,2023-01-01,2023 Q1,2035,Importer,Small,1604,Distributors,Small,Coffee_Beans_Imported,3.079,25.0,76.98,48.44,0.6293,partially_compliant,28.54
INV3416521,2023-01-01,2023 Q1,2042,Importer,Large,1604,Distributors,Small,Wine_Imported,31.171,10.67,332.59,186.22,0.5599,partially_compliant,146.37
INV3416522,2023-01-01,2023 Q1,2020,Importer,Small,1604,Distributors,Small,Beer_Imported,25.773,3.0,77.32,58.83,0.7608,partially_compliant,18.49
INV3418547,2023-01-01,2023 Q1,2048,Importer,Small,1605,Distributors,Small,Coffee_Beans_Imported,12.753572,25.0,318.84,313.92,0.9846,compliant,4.92
INV3418551,2023-01-01,2023 Q1,2050,Importer,Medium,1605,Distributors,Small,Beer_Imported,63.552802,3.0,190.66,131.5,0.6897,partially_compliant,59.15
INV3420289,2023-01-01,2023 Q1,2049,Importer,Large,1606,Distributors,Medium,Coffee_Beans_Imported,10.209006,25.0,255.23,253.22,0.9921,compliant,2.01
INV3420292,2023-01-01,2023 Q1,2033,Importer,Small,1606,Distributors,Medium,Beer_Imported,13.662817,3.0,40.99,38.94,0.95,compliant,2.05
INV3420293,2023-01-01,2023 Q1,2053,Importer,Large,1606,Distributors,Medium,Wine_Imported,89.662208,10.67,956.7,95.67,0.1,non_compliant,861.03
INV3422319,2023-01-01,2023 Q1,2050,Importer,Medium,1607,Distributors,Small,Coffee_Beans_Imported,5.281204,25.0,132.03,91.07,0.6897,partially_compliant,40.96
INV3422320,2023-01-01,2023 Q1,2039,Importer,Large,1607,Distributors,Small,Wine_Imported,33.324471,10.67,355.57,343.55,0.9662,compliant,12.02
INV3422322,2023-01-01,2023 Q1,2064,Importer,Medium,1607,Distributors,Small,Beer_Imported,12.174783,3.0,36.52,36.48,0.9987,compliant,0.05
INV3424348,2023-01-01,2023 Q1,2040,Importer,Large,1608,Distributors,Small,Coffee_Beans_Imported,6.925048,25.0,173.13,109.6,0.6331,partially_compliant,63.52
INV3424351,2023-01-01,2023 Q1,2058,Importer,Medium,1608,Distributors,Small,Wine_Imported,94.570241,10.67,1009.06,983.96,0.9751,compliant,25.1
INV3426089,2023-01-01,2023 Q1,2027,Importer,Small,1609,Distributors,Small,Wine_Imported,9.185271,10.67,98.01,96.12,0.9807,compliant,1.89
INV3426090,2023-01-01,2023 Q1,2035,Importer,Small,1609,Distributors,Small,Beer_Imported,25.902788,3.0,77.71,48.9,0.6293,partially_compliant,28.81
INV3427686,2023-01-01,2023 Q1,2051,Importer,Medium,1610,Distributors,Small,Wine_Imported,23.015166,10.67,245.57,242.15,0.9861,compliant,3.42
INV3429421,2023-01-01,2023 Q1,2038,Importer,Large,1611,Distributors,Small,Coffee_Beans_Imported,4.903599,25.0,122.59,120.77,0.9852,compliant,1.82
INV3429425,2023-01-01,2023 Q1,2071,Importer,Small,1611,Distributors,Small,Beer_Imported,22.277642,3.0,66.83,41.09,0.6148,partially_compliant,25.74
INV3429426,2023-01-01,2023 Q1,2020,Importer,Small,1611,Distributors,Small,Wine_Imported,45.712777,10.67,487.76,371.1,0.7608,partially_compliant,116.66
INV3431162,2023-01-01,2023 Q1,2020,Importer,Small,1612,Distributors,Small,Coffee_Beans_Imported,25.307249,25.0,632.68,481.36,0.7608,partially_compliant,151.32
INV3431167,2023-01-01,2023 Q1,2069,Importer,Medium,1612,Distributors,Small,Beer_Imported,70.277599,3.0,210.83,133.01,0.6309,partially_compliant,77.82
INV3431168,2023-01-01,2023 Q1,2040,Importer,Large,1612,Distributors,Small,Wine_Imported,112.351039,10.67,1198.79,758.93,0.6331,partially_compliant,439.85
INV3433195,2023-01-01,2023 Q1,2051,Importer,Medium,1613,Distributors,Small,Beer_Imported,17.488401,3.0,52.47,51.73,0.9861,compliant,0.73
INV3433196,2023-01-01,2023 Q1,2037,Importer,Large,1613,Distributors,Small,Wine_Imported,18.346873,10.67,195.76,16.81,0.0859,non_compliant,178.95
INV3435077,2023-01-01,2023 Q1,2017,Importer,Medium,1614,Distributors,Small,Coffee_Beans_Imported,6.69095,25.0,167.27,75.38,0.4506,partially_compliant,91.9
INV3435081,2023-01-01,2023 Q1,2064,Importer,Medium,1614,Distributors,Small,Wine_Imported,8.954471,10.67,95.54,95.42,0.9987,compliant,0.12
INV3436966,2023-01-01,2023 Q1,2057,Importer,Small,1615,Distributors,Medium,Beer_Imported,106.977973,3.0,320.93,0.0,0.0,non_compliant,320.93
INV3436968,2023-01-01,2023 Q1,2052,Importer,Small,1615,Distributors,Medium,Wine_Imported,54.526612,10.67,581.8,570.01,0.9797,compliant,11.79
INV3438994,2023-01-01,2023 Q1,2038,Importer,Large,1616,Distributors,Small,Coffee_Beans_Imported,9.917944,25.0,247.95,244.27,0.9852,compliant,3.67
INV3438997,2023-01-01,2023 Q1,2028,Importer,Medium,1616,Distributors,Small,Wine_Imported,11.897657,10.67,126.95,8.91,0.0702,non_compliant,118.03
INV3440880,2023-01-01,2023 Q1,2014,Importer,Medium,1617,Distributors,Small,Coffee_Beans_Imported,1.915516,25.0,47.89,0.0,0.0,non_compliant,47.89
INV3440882,2023-01-01,2023 Q1,2027,Importer,Small,1617,Distributors,Small,Wine_Imported,55.620092,10.67,593.47,582.02,0.9807,compliant,11.45
INV3442763,2023-01-01,2023 Q1,2057,Importer,Small,1618,Distributors,Small,Coffee_Beans_Imported,2.655257,25.0,66.38,0.0,0.0,non_compliant,66.38
INV3442766,2023-01-01,2023 Q1,2023,Importer,Small,1618,Distributors,Small,Beer_Imported,32.367244,3.0,97.1,65.58,0.6754,partially_compliant,31.52
INV3442767,2023-01-01,2023 Q1,2030,Importer,Small,1618,Distributors,Small,Wine_Imported,32.992422,10.67,352.03,343.49,0.9757,compliant,8.54
INV3444648,2023-01-01,2023 Q1,2070,Importer,Small,1619,Distributors,Medium,Coffee_Beans_Imported,12.065099,25.0,301.63,0.0,0.0,non_compliant,301.63
INV3444651,2023-01-01,2023 Q1,2061,Importer,Small,1619,Distributors,Medium,Wine_Imported,90.36252,10.67,964.17,30.81,0.032,non_compliant,933.35
INV3444652,2023-01-01,2023 Q1,2057,Importer,Small,1619,Distributors,Medium,Beer_Imported,57.722092,3.0,173.17,0.0,0.0,non_compliant,173.17
INV3446677,2023-01-01,2023 Q1,2039,Importer,Large,1620,Distributors,Medium,Coffee_Beans_Imported,12.27114,25.0,306.78,296.4,0.9662,compliant,10.37
INV3446681,2023-01-01,2023 Q1,2065,Importer,Small,1620,Distributors,Medium,Wine_Imported,30.383136,10.67,324.19,315.43,0.973,compliant,8.76
INV3448707,2023-01-01,2023 Q1,2062,Importer,Small,1621,Distributors,Large,Coffee_Beans_Imported,27.150033,25.0,678.75,676.81,0.9971,compliant,1.94
INV3448712,2023-01-01,2023 Q1,2061,Importer,Small,1621,Distributors,Large,Beer_Imported,14.988167,3.0,44.96,1.44,0.032,non_compliant,43.53
INV3448713,2023-01-01,2023 Q1,2030,Importer,Small,1621,Distributors,Large,Wine_Imported,130.895976,10.67,1396.66,1362.76,0.9757,compliant,33.9
INV3450740,2023-01-01,2023 Q1,2043,Importer,Small,1622,Distributors,Medium,Coffee_Beans_Imported,13.787839,25.0,344.7,207.15,0.601,partially_compliant,137.54
INV3450741,2023-01-01,2023 Q1,2013,Importer,Small,1622,Distributors,Medium,Wine_Imported,183.022444,10.67,1952.85,0.0,0.0,non_compliant,1952.85
INV3450743,2023-01-01,2023 Q1,2021,Importer,Small,1622,Distributors,Medium,Beer_Imported,30.779523,3.0,92.34,73.31,0.7939,partially_compliant,19.03
INV3452769,2023-01-01,2023 Q1,2049,Importer,Large,1623,Distributors,Small,Coffee_Beans_Imported,12.662885,25.0,316.57,314.08,0.9921,compliant,2.49
INV3452772,2023-01-01,2023 Q1,2063,Importer,Small,1623,Distributors,Small,Wine_Imported,57.47068,10.67,613.21,61.32,0.1,non_compliant,551.89
INV3452773,2023-01-01,2023 Q1,2015,Importer,Small,1623,Distributors,Small,Beer_Imported,99.434327,3.0,298.3,214.63,0.7195,partially_compliant,83.68
INV3454800,2023-01-01,2023 Q1,2045,Importer,Medium,1624,Distributors,Small,Coffee_Beans_Imported,9.066154,25.0,226.65,0.0,0.0,non_compliant,226.65
INV3454801,2023-01-01,2023 Q1,2027,Importer,Small,1624,Distributors,Small,Wine_Imported,129.731742,10.67,1384.24,1357.54,0.9807,compliant,26.7
INV3454802,2023-01-01,2023 Q1,2042,Importer,Large,1624,Distributors,Small,Beer_Imported,22.31951,3.0,66.96,37.49,0.5599,partially_compliant,29.47
INV3456831,2023-01-01,2023 Q1,2052,Importer,Small,1625,Distributors,Small,Beer_Imported,22.997911,3.0,68.99,67.6,0.9797,compliant,1.4
INV3456832,2023-01-01,2023 Q1,2071,Importer,Small,1625,Distributors,Small,Wine_Imported,27.953995,10.67,298.27,183.39,0.6148,partially_compliant,114.88
INV3458711,2023-01-01,2023 Q1,2051,Importer,Medium,1626,Distributors,Medium,Coffee_Beans_Imported,19.555571,25.0,488.89,482.08,0.9861,compliant,6.81
INV3458716,2023-01-01,2023 Q1,2058,Importer,Medium,1626,Distributors,Medium,Wine_Imported,66.44748,10.67,708.99,691.36,0.9751,compliant,17.64
INV3460599,2023-01-01,2023 Q1,2036,Importer,Small,1627,Distributors,Medium,Coffee_Beans_Imported,9.077769,25.0,226.94,217.11,0.9566,compliant,9.84
INV3460602,2023-01-01,2023 Q1,2049,Importer,Large,1627,Distributors,Medium,Wine_Imported,102.417852,10.67,1092.8,1084.21,0.9921,compliant,8.59
INV3460603,2023-01-01,2023 Q1,2039,Importer,Large,1627,Distributors,Medium,Beer_Imported,13.461475,3.0,40.38,39.02,0.9662,compliant,1.37
INV3462628,2023-01-01,2023 Q1,2059,Importer,Small,1628,Distributors,Medium,Coffee_Beans_Imported,18.287313,25.0,457.18,449.89,0.984,compliant,7.3
INV3462631,2023-01-01,2023 Q1,2062,Importer,Small,1628,Distributors,Medium,Beer_Imported,29.631916,3.0,88.9,88.64,0.9971,compliant,0.25
INV3462632,2023-01-01,2023 Q1,2072,Importer,Medium,1628,Distributors,Medium,Wine_Imported,60.842613,10.67,649.19,643.05,0.9905,compliant,6.14
INV3464657,2023-01-01,2023 Q1,2067,Importer,Small,1629,Distributors,Large,Coffee_Beans_Imported,20.393898,25.0,509.85,505.19,0.9909,compliant,4.66
INV3464661,2023-01-01,2023 Q1,2016,Importer,Medium,1629,Distributors,Large,Beer_Imported,36.951124,3.0,110.85,0.0,0.0,non_compliant,110.85
INV3464663,2023-01-01,2023 Q1,2061,Importer,Small,1629,Distributors,Large,Wine_Imported,63.493756,10.67,677.48,21.65,0.032,non_compliant,655.83
INV3466689,2023-01-01,2023 Q1,2057,Importer,Small,1630,Distributors,Small,Coffee_Beans_Imported,10.250622,25.0,256.27,0.0,0.0,non_compliant,256.27
INV3466691,2023-01-01,2023 Q1,2016,Importer,Medium,1630,Distributors,Small,Beer_Imported,171.938,3.0,515.81,0.0,0.0,non_compliant,515.81
INV3466692,2023-01-01,2023 Q1,2062,Importer,Small,1630,Distributors,Small,Wine_Imported,144.212242,10.67,1538.74,1534.34,0.9971,compliant,4.4
INV3468720,2023-01-01,2023 Q1,2054,Importer,Medium,1631,Distributors,Small,Coffee_Beans_Imported,18.464447,25.0,461.61,450.0,0.9748,compliant,11.61
INV3468721,2023-01-01,2023 Q1,2049,Importer,Large,1631,Distributors,Small,Wine_Imported,44.873741,10.67,478.8,475.04,0.9921,compliant,3.76
INV3468722,2023-01-01,2023 Q1,2017,Importer,Medium,1631,Distributors,Small,Beer_Imported,84.840364,3.0,254.52,114.69,0.4506,partially_compliant,139.83
INV3470750,2023-01-01,2023 Q1,2046,Importer,Small,1632,Distributors,Medium,Coffee_Beans_Imported,26.548816,25.0,663.72,647.71,0.9759,compliant,16.01
INV3470751,2023-01-01,2023 Q1,2030,Importer,Small,1632,Distributors,Medium,Beer_Imported,37.289397,3.0,111.87,109.15,0.9757,compliant,2.72
INV3470753,2023-01-01,2023 Q1,2041,Importer,Large,1632,Distributors,Medium,Wine_Imported,51.280597,10.67,547.16,530.87,0.9702,compliant,16.29
INV3472777,2023-01-01,2023 Q1,2061,Importer,Small,1633,Distributors,Medium,Coffee_Beans_Imported,15.954908,25.0,398.87,12.75,0.032,non_compliant,386.13
INV3472781,2023-01-01,2023 Q1,2048,Importer,Small,1633,Distributors,Medium,Wine_Imported,62.211933,10.67,663.8,653.56,0.9846,compliant,10.24
INV3472782,2023-01-01,2023 Q1,2064,Importer,Medium,1633,Distributors,Medium,Beer_Imported,56.872864,3.0,170.62,170.4,0.9987,compliant,0.22
INV3474660,2023-01-01,2023 Q1,2048,Importer,Small,1634,Distributors,Small,Coffee_Beans_Imported,5.443261,25.0,136.08,133.98,0.9846,compliant,2.1
INV3474665,2023-01-01,2023 Q1,2018,Importer,Small,1634,Distributors,Small,Wine_Imported,75.680777,10.67,807.51,805.92,0.998,compliant,1.6
INV3474666,2023-01-01,2023 Q1,2015,Importer,Small,1634,Distributors,Small,Beer_Imported,16.078397,3.0,48.24,34.71,0.7195,partially_compliant,13.53
INV3476404,2023-01-01,2023 Q1,2028,Importer,Medium,1635,Distributors,Small,Coffee_Beans_Imported,5.299,25.0,132.48,9.3,0.0702,non_compliant,123.17
INV3476406,2023-01-01,2023 Q1,2061,Importer,Small,1635,Distributors,Small,Beer_Imported,26.397,3.0,79.19,2.53,0.032,non_compliant,76.66
INV3476408,2023-01-01,2023 Q1,2044,Importer,Small,1635,Distributors,Small,Wine_Imported,11.326,10.67,120.85,116.7,0.9657,compliant,4.15
INV3478436,2023-01-01,2023 Q1,2036,Importer,Small,1636,Distributors,Medium,Wine_Imported,94.954628,10.67,1013.17,969.24,0.9566,compliant,43.92
INV3478437,2023-01-01,2023 Q1,2070,Importer,Small,1636,Distributors,Medium,Beer_Imported,58.367988,3.0,175.1,0.0,0.0,non_compliant,175.1
INV3480462,2023-01-01,2023 Q1,2029,Importer,Medium,1637,Distributors,Medium,Coffee_Beans_Imported,11.663175,25.0,291.58,29.16,0.1,non_compliant,262.42
INV3480466,2023-01-01,2023 Q1,2018,Importer,Small,1637,Distributors,Medium,Beer_Imported,79.989728,3.0,239.97,239.49,0.998,compliant,0.47
INV3480468,2023-01-01,2023 Q1,2064,Importer,Medium,1637,Distributors,Medium,Wine_Imported,22.502405,10.67,240.1,239.79,0.9987,compliant,0.31
INV3482493,2023-01-01,2023 Q1,2039,Importer,Large,1638,Distributors,Small,Coffee_Beans_Imported,10.650142,25.0,266.25,257.25,0.9662,compliant,9.0
INV3482496,2023-01-01,2023 Q1,2032,Importer,Small,1638,Distributors,Small,Wine_Imported,100.269878,10.67,1069.88,584.96,0.5467,partially_compliant,484.92
INV3484376,2023-01-01,2023 Q1,2046,Importer,Small,1639,Distributors,Medium,Coffee_Beans_Imported,20.874098,25.0,521.85,509.27,0.9759,compliant,12.59
INV3484382,2023-01-01,2023 Q1,2056,Importer,Small,1639,Distributors,Medium,Wine_Imported,99.696192,10.67,1063.76,1010.57,0.95,compliant,53.19
INV3486407,2023-01-01,2023 Q1,2033,Importer,Small,1640,Distributors,Large,Coffee_Beans_Imported,18.590247,25.0,464.76,441.52,0.95,compliant,23.24
INV3486412,2023-01-01,2023 Q1,2036,Importer,Small,1640,Distributors,Large,Beer_Imported,135.00072,3.0,405.0,387.44,0.9566,compliant,17.56
INV3486413,2023-01-01,2023 Q1,2050,Importer,Medium,1640,Distributors,Large,Wine_Imported,89.258308,10.67,952.39,656.9,0.6897,partially_compliant,295.49
INV3488436,2023-01-01,2023 Q1,2059,Importer,Small,1641,Distributors,Medium,Coffee_Beans_Imported,7.600113,25.0,190.0,186.97,0.984,compliant,3.03
INV3488442,2023-01-01,2023 Q1,2029,Importer,Medium,1641,Distributors,Medium,Wine_Imported,49.180264,10.67,524.75,52.48,0.1,non_compliant,472.28
INV3490322,2023-01-01,2023 Q1,2058,Importer,Medium,1642,Distributors,Small,Coffee_Beans_Imported,4.262529,25.0,106.56,103.91,0.9751,compliant,2.65
INV3492207,2023-01-01,2023 Q1,2060,Importer,Medium,1643,Distributors,Medium,Coffee_Beans_Imported,27.473252,25.0,686.83,665.79,0.9694,compliant,21.04
INV3492211,2023-01-01,2023 Q1,2062,Importer,Small,1643,Distributors,Medium,Wine_Imported,134.75322,10.67,1437.82,1433.7,0.9971,compliant,4.12
INV3492212,2023-01-01,2023 Q1,2049,Importer,Large,1643,Distributors,Medium,Beer_Imported,91.128858,3.0,273.39,271.24,0.9921,compliant,2.15
INV3494240,2023-01-01,2023 Q1,2038,Importer,Large,1644,Distributors,Small,Wine_Imported,59.39054,10.67,633.7,624.31,0.9852,compliant,9.39
INV3495834,2023-01-01,2023 Q1,2058,Importer,Medium,1645,Distributors,Large,Coffee_Beans_Imported,11.048056,25.0,276.2,269.33,0.9751,compliant,6.87
INV3495836,2023-01-01,2023 Q1,2054,Importer,Medium,1645,Distributors,Large,Beer_Imported,90.443523,3.0,271.33,264.5,0.9748,compliant,6.83
INV3495837,2023-01-01,2023 Q1,2069,Importer,Medium,1645,Distributors,Large,Wine_Imported,75.560396,10.67,806.23,508.64,0.6309,partially_compliant,297.59
INV3497866,2023-01-01,2023 Q1,2021,Importer,Small,1646,Distributors,Small,Beer_Imported,42.980322,3.0,128.94,102.37,0.7939,partially_compliant,26.57
INV3497867,2023-01-01,2023 Q1,2040,Importer,Large,1646,Distributors,Small,Wine_Imported,33.704159,10.67,359.62,227.67,0.6331,partially_compliant,131.95
INV3499750,2023-01-01,2023 Q1,2045,Importer,Medium,1647,Distributors,Large,Coffee_Beans_Imported,18.422751,25.0,460.57,0.0,0.0,non_compliant,460.57
INV3499752,2023-01-01,2023 Q1,2070,Importer,Small,1647,Distributors,Large,Beer_Imported,125.166368,3.0,375.5,0.0,0.0,non_compliant,375.5
INV3499753,2023-01-01,2023 Q1,2028,Importer,Medium,1647,Distributors,Large,Wine_Imported,40.975263,10.67,437.21,30.7,0.0702,non_compliant,406.5
INV3501777,2023-01-01,2023 Q1,2013,Importer,Small,1648,Distributors,Small,Coffee_Beans_Imported,17.373747,25.0,434.34,0.0,0.0,non_compliant,434.34
INV3501782,2023-01-01,2023 Q1,2017,Importer,Medium,1648,Distributors,Small,Wine_Imported,65.476016,10.67,698.63,314.82,0.4506,partially_compliant,383.81
INV3501783,2023-01-01,2023 Q1,2066,Importer,Large,1648,Distributors,Small,Beer_Imported,59.90529,3.0,179.72,174.17,0.9692,compliant,5.54
INV3503807,2023-01-01,2023 Q1,2057,Importer,Small,1649,Distributors,Medium,Coffee_Beans_Imported,12.177867,25.0,304.45,0.0,0.0,non_compliant,304.45
INV3503811,2023-01-01,2023 Q1,2050,Importer,Medium,1649,Distributors,Medium,Beer_Imported,92.065918,3.0,276.2,190.5,0.6897,partially_compliant,85.69
INV3503812,2023-01-01,2023 Q1,2037,Importer,Large,1649,Distributors,Medium,Wine_Imported,80.387052,10.67,857.73,73.67,0.0859,non_compliant,784.06
INV3505837,2023-01-01,2023 Q1,2016,Importer,Medium,1650,Distributors,Large,Coffee_Beans_Imported,27.749525,25.0,693.74,0.0,0.0,non_compliant,693.74
INV3505842,2023-01-01,2023 Q1,2069,Importer,Medium,1650,Distributors,Large,Beer_Imported,35.66628,3.0,107.0,67.5,0.6309,partially_compliant,39.5
INV3505843,2023-01-01,2023 Q1,2018,Importer,Small,1650,Distributors,Large,Wine_Imported,33.266902,10.67,354.96,354.26,0.998,compliant,0.7
INV3507867,2023-01-01,2023 Q1,2066,Importer,Large,1651,Distributors,Medium,Coffee_Beans_Imported,23.925678,25.0,598.14,579.7,0.9692,compliant,18.44
INV3507872,2023-01-01,2023 Q1,2066,Importer,Large,1651,Distributors,Medium,Wine_Imported,76.869296,10.67,820.2,794.91,0.9692,compliant,25.29
INV3507873,2023-01-01,2023 Q1,2067,Importer,Small,1651,Distributors,Medium,Beer_Imported,31.717346,3.0,95.15,94.28,0.9909,compliant,0.87
INV3509896,2023-01-01,2023 Q1,2023,Importer,Small,1652,Distributors,Large,Coffee_Beans_Imported,12.284912,25.0,307.12,207.44,0.6754,partially_compliant,99.69
INV3509901,2023-01-01,2023 Q1,2071,Importer,Small,1652,Distributors,Large,Beer_Imported,40.878093,3.0,122.63,75.4,0.6148,partially_compliant,47.23
INV3509903,2023-01-01,2023 Q1,2017,Importer,Medium,1652,Distributors,Large,Wine_Imported,51.33093,10.67,547.7,246.81,0.4506,partially_compliant,300.89
INV3511930,2023-01-01,2023 Q1,2031,Importer,Medium,1653,Distributors,Small,Coffee_Beans_Imported,0.183,25.0,4.58,4.5,0.9843,compliant,0.07
INV3511931,2023-01-01,2023 Q1,2055,Importer,Small,1653,Distributors,Small,Wine_Imported,11.564,10.67,123.39,120.84,0.9794,compliant,2.55
INV3513667,2023-01-01,2023 Q1,2022,Importer,Small,1654,Distributors,Small,Coffee_Beans_Imported,2.335428,25.0,58.39,5.84,0.1,non_compliant,52.55
INV3513670,2023-01-01,2023 Q1,2015,Importer,Small,1654,Distributors,Small,Wine_Imported,17.227694,10.67,183.82,132.26,0.7195,partially_compliant,51.56
INV3513671,2023-01-01,2023 Q1,2039,Importer,Large,1654,Distributors,Small,Beer_Imported,35.373015,3.0,106.12,102.53,0.9662,compliant,3.59
INV3515407,2023-01-01,2023 Q1,2033,Importer,Small,1655,Distributors,Small,Coffee_Beans_Imported,4.887756,25.0,122.19,116.08,0.95,compliant,6.11
INV3515412,2023-01-01,2023 Q1,2038,Importer,Large,1655,Distributors,Small,Beer_Imported,82.699509,3.0,248.1,244.42,0.9852,compliant,3.68
INV3515413,2023-01-01,2023 Q1,2014,Importer,Medium,1655,Distributors,Small,Wine_Imported,66.448185,10.67,709.0,0.0,0.0,non_compliant,709.0
INV3517440,2023-01-01,2023 Q1,2059,Importer,Small,1656,Distributors,Small,Coffee_Beans_Imported,9.873958,25.0,246.85,242.91,0.984,compliant,3.94
INV3517442,2023-01-01,2023 Q1,2037,Importer,Large,1656,Distributors,Small,Wine_Imported,49.584984,10.67,529.07,45.44,0.0859,non_compliant,483.63
INV3517443,2023-01-01,2023 Q1,2045,Importer,Medium,1656,Distributors,Small,Beer_Imported,57.191852,3.0,171.58,0.0,0.0,non_compliant,171.58
INV3519466,2023-01-01,2023 Q1,2052,Importer,Small,1657,Distributors,Small,Coffee_Beans_Imported,14.364329,25.0,359.11,351.83,0.9797,compliant,7.28
INV3519471,2023-01-01,2023 Q1,2056,Importer,Small,1657,Distributors,Small,Wine_Imported,53.268667,10.67,568.38,539.96,0.95,compliant,28.42
INV3521209,2023-01-01,2023 Q1,2033,Importer,Small,1658,Distributors,Small,Coffee_Beans_Imported,9.138752,25.0,228.47,217.05,0.95,compliant,11.42
INV3521211,2023-01-01,2023 Q1,2018,Importer,Small,1658,Distributors,Small,Beer_Imported,23.243266,3.0,69.73,69.59,0.998,compliant,0.14
INV3522949,2023-01-01,2023 Q1,2035,Importer,Small,1659,Distributors,Small,Coffee_Beans_Imported,14.447546,25.0,361.19,227.29,0.6293,partially_compliant,133.9
INV3522952,2023-01-01,2023 Q1,2051,Importer,Medium,1659,Distributors,Small,Beer_Imported,22.968457,3.0,68.91,67.95,0.9861,compliant,0.96
